"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103'";"FROZEN II - IL SEGRETO DI ARENDELLE";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
